889	一千零一夜 (電視劇)	199366
890	安心亞	198871
891	朱元璋	198647
892	草地貪夜蛾	198612
893	民間人權陣線	198499
894	香港特別行政區行政長官	198314
895	歡樂無法黨	198251
896	陳立農	198170
897	2019年6月9日香港反對逃犯條例修訂草案遊行	198155
898	順風婦產科	197528
899	明日之子水晶时代	197410
900	李昇基	197003
901	ØZI	196627
902	金明洙	196405
903	鬥魚 (電視劇)	196165
904	奔跑吧2019节目列表	195889
905	催淚彈	195883
906	張敬軒	195391
907	甄子丹	194833
908	CLC	194651
909	唐太宗	194207
910	聲入人心	194120
911	Lady Gaga	193786
912	向往的生活	193367
913	為了女兒，我說不定連魔王都能幹掉。	193360
914	世界羽联世界排名	193259
915	幻影天使	192743
916	七宗罪	192372
917	新北市	191921
918	謝龍介	191851
919	范曉萱	191642
920	防火长城	191556
921	銅鑼灣書店股東及員工失蹤事件	190959
922	德仁	190753
923	假面騎士ZERO-ONE	190502
924	任家萱	190035
925	美國隊長 (電影)	189710
926	追我吧	189353
927	稀土金属	188869
928	段崇智	188744
929	費玉清	188328
930	2019年中國羽毛球公開賽	188012
931	2019年法國羽毛球公開賽	187940
932	人类阴茎尺寸	187800
933	艾倫·沃克	187141
934	冰雪奇缘	187000
935	林秀香	186901
936	刘鹤	186383
937	SpeXial	186252
938	2019年印度尼西亞羽毛球公開賽	186160
939	利君雅	185715
940	緋紅女巫	185361
941	彭丽媛	184839
942	七夕	184515
943	ONE PIECE角色列表	184316
944	BEASTARS	183741
945	逃犯條例修訂草案 (2019年)	183659
946	驚心動魄 (2000年電影)	183597
947	林哲熹	183466
948	尹世雅	183349
949	鍾培生	183195
950	周庭	182570
951	入間同學入魔了！	182409
952	歡迎來到實力至上主義的教室	182288
953	朱立倫	182103
954	高嘉瑜	181999
955	F(x) (組合)	181823
956	贝聿铭	181590
957	山下智久	181219
958	2019年香港區議會選舉結果	180283
959	海棠经雨胭脂透	179950
960	听雪楼	179743
961	剑王朝 (电视剧)	179679
962	昭和天皇	179674
963	格蕾塔·通贝里	179168
964	麻疹	179164
965	愛x死x機器人	178624
966	生死接線員	178552
967	新白娘子传奇 (2019年电视剧)	178364
968	于卉喬	178030
969	金香起	178027
970	罗杰·费德勒	177953
971	溫暖的弦	177663
972	白色情人節	177517
973	請回答1988	177421
974	爸爸好奇怪	177386
975	迈克尔·乔丹	177270
976	很便宜，千里馬超市	177050
977	刺客守則	176872
978	追龍II：賊王	176852
979	LamiGirls	176724
980	抓住幽靈	176559
981	Coffee Friends	176333
982	香港銀行列表	176062
983	十年三月三十日	176053
984	烈火雄心II	175899
985	菊梓喬	175795
986	Watcher	175480
987	黑魔女2	175389
988	馬東石	175375
989	唐詩詠	174724
990	金正恩	174415
991	曾之喬	174294
992	列奥纳多·达·芬奇	174202
993	周采詩	174171
994	毛孟靜	173940
995	李施嬅	173894
996	通靈少女 (電視劇)	173623
997	章子怡	173452
998	蔡沁瑜	173345
999	花黨：朝鮮婚姻介紹所	173265
1000	筑梦情缘	173084
1001	林峯	173053
1002	台灣基進	173017
1003	权力的游戏 (第八季)	172937
1004	Apink	172552
1005	中華民國總統	172313
1006	孫安佐	171786
1007	从前有座灵剑山	171737
1008	任正非	171377
1009	蔡阿嘎	171207
1010	黑色星期五 (购物)	171019
1011	華城連環殺人案	170729
1012	獨孤伽羅	170342
1013	鄭人碩	169315
1014	普通攻擊是全體二連擊，這樣的媽媽你喜歡嗎？	169153
1015	雷神 (电影)	168952
1016	Sex141	168876
1017	性高潮	168811
1018	高雄國際機場	168524
1019	張無忌	168524
1020	言承旭	168293
1021	黑死病	168202
1022	袁艾菲	168165
1023	鑽石王牌	168158
1024	舒淇	167934
1025	全面攻佔3：天使救援	167916
1026	2019年中國福州羽毛球公開賽	167675
1027	包拯	167669
1028	張奕 (棒球選手)	167568
1029	史蒂夫·乔布斯	167522
1030	捍衛任務2：殺神回歸	167456
1031	安納塔漢島女王事件	167289
1032	2019年世界羽聯世界巡迴賽總決賽	167281
1033	斗罗大陆	167230
1034	李敏鎬	167170
1035	2020年夏季奥林匹克运动会	167033
1036	堅離地愛堅離地	166842
1037	不能結婚的男人 (日本電視劇)	166258
1038	諾瓦克·喬科維奇	166085
1039	碧藍航線	166043
1040	2019年臺南市第二選舉區立法委員缺額補選	165740
1041	曾馨瑩	165498
1042	杨逍	165385
1043	實況主的逃脫遊戲【直播中】	165350
1044	周柏豪	165000
